,source,target,value,layer,time
179,73,74,49,1,2
180,72,36,51,1,1
181,50,95,69,2,2
182,77,4,71,1,2
183,84,97,17,1,1
184,59,19,86,1,2
185,28,76,50,2,2
186,11,23,12,2,2
187,7,20,33,2,2
188,19,78,42,2,2
189,57,69,85,2,2
190,77,26,28,1,1
191,91,7,81,2,1
192,37,37,74,2,1
193,50,43,62,1,1
194,40,20,75,2,2
195,3,34,10,2,2
196,35,30,35,2,2
197,61,80,20,2,2
198,48,63,46,2,2
199,96,30,77,1,1
200,26,86,34,1,2
201,95,4,79,2,2
202,81,81,64,2,2
203,92,22,59,1,1
204,47,17,24,2,1
205,42,48,3,1,2
206,30,17,83,2,2
207,33,23,79,1,1
208,1,93,46,2,2
209,87,93,88,1,1
210,59,93,92,2,2
211,72,87,85,1,1
212,14,24,16,1,2
213,9,9,10,2,1
214,86,71,93,2,2
215,87,29,1,1,2
216,54,88,86,1,2
217,87,19,26,2,1
218,21,77,58,1,2
219,71,93,67,2,1
220,50,58,19,2,1
221,79,51,99,1,1
222,17,76,10,2,1
223,37,11,20,1,1
224,52,10,64,1,2
225,30,22,53,2,2
226,85,45,73,2,1
227,66,62,58,1,2
228,82,4,69,1,2
229,32,21,6,2,1
230,77,67,22,1,1
231,51,45,27,1,2
232,69,98,6,1,2
233,93,86,29,2,1
234,24,85,56,2,2
235,44,19,95,2,2
236,72,82,67,2,1
237,1,70,17,2,1
238,27,51,30,2,1
239,40,71,38,1,2
240,51,56,60,2,2
241,76,21,73,2,1
242,46,46,32,1,1
243,52,58,52,2,2
244,65,86,49,2,1
245,13,76,15,2,2
246,9,24,77,1,1
247,39,27,9,2,2
248,45,75,28,2,1
249,78,28,1,2,2
250,3,41,2,2,2
251,83,94,65,1,1
252,59,35,78,1,1
253,1,14,68,1,2
254,53,75,86,2,2
255,66,40,47,1,2
256,42,49,99,2,2
257,43,17,30,2,2
258,24,56,63,1,2
259,97,30,97,1,1
260,80,53,85,2,1
261,16,64,56,1,1
262,27,20,52,2,1
263,44,53,2,2,1
264,86,28,86,2,2
265,67,79,17,2,1
266,76,32,84,2,1
267,32,49,41,2,2
268,18,92,28,1,1
269,13,47,38,1,2
270,67,49,83,1,2
271,35,75,5,2,2
272,79,93,77,1,2
273,81,56,56,2,2
274,20,87,16,1,2
275,12,85,16,2,2
276,14,31,42,1,2
277,80,30,15,1,1
278,29,74,86,2,1
279,42,97,5,2,2
280,13,40,27,1,2
281,80,52,77,1,2
282,20,76,19,1,2
283,16,4,99,2,1
284,6,32,1,1,2
285,95,43,84,1,2
286,17,96,66,1,1
287,98,77,18,1,1
288,27,89,29,2,2
289,10,57,45,2,1
290,63,33,42,2,1
291,11,77,74,2,2
292,82,20,95,2,2
293,59,90,80,1,1
294,87,76,83,2,1
295,25,60,49,1,2
296,74,68,72,2,1
297,87,54,68,1,1
298,13,60,60,1,2
299,16,4,32,1,1
300,12,16,29,1,2
301,78,70,1,1,2
302,47,3,40,2,2
303,65,2,47,2,2
304,38,26,56,2,2
305,65,61,75,1,1
306,9,61,62,2,1
307,28,17,39,2,1
308,90,72,80,1,2
309,17,59,84,1,1
310,32,64,71,1,1
311,76,87,72,1,1
312,47,84,13,1,2
313,53,22,48,1,1
314,14,20,19,2,2
315,42,76,51,1,2
316,4,89,79,1,1
317,25,24,10,2,2
318,13,5,75,1,1
319,87,89,27,2,1
320,70,94,40,2,2
321,4,77,93,1,2
322,54,99,49,1,1
323,90,64,83,1,2
324,11,19,71,1,1
325,79,52,28,1,2
326,93,84,61,2,1
327,96,58,70,1,1
328,12,20,50,2,2
329,27,80,23,1,1
330,92,28,42,2,1
331,73,22,88,1,2
332,81,65,47,1,2
333,87,26,98,2,1
334,43,20,39,2,1
335,23,43,29,1,1
336,89,21,6,1,1
337,79,15,36,2,2
338,44,46,82,2,1
339,29,51,2,1,1
340,38,77,87,1,2
341,93,71,31,2,1
342,78,29,65,2,1
343,64,72,50,2,1
344,3,1,43,1,2
345,96,57,29,2,1
346,86,58,40,1,1
347,33,30,9,1,1
348,31,26,56,2,2
349,92,51,17,2,1
350,61,37,32,2,2
351,81,43,53,2,2
352,60,17,31,1,2
353,10,33,72,2,1
354,88,37,16,1,2
355,18,23,55,2,2
356,54,61,25,2,1
357,90,45,60,2,1
358,77,59,35,1,1
359,11,58,10,2,2
360,48,34,54,1,2
361,12,30,35,2,1
362,19,14,60,2,1
363,12,20,20,2,2
364,60,2,39,1,1
365,97,37,57,2,1
366,55,58,95,2,1
367,70,75,72,1,2
368,40,68,52,1,2
369,91,3,28,1,2
370,77,54,41,1,1
371,67,5,60,2,2
372,90,5,88,2,2
373,75,97,47,1,2
374,39,36,83,2,1
375,38,30,85,1,2
376,16,93,97,2,1
377,21,88,95,1,1
378,74,43,53,2,1
379,12,23,84,2,2
380,58,26,44,1,2
381,45,85,73,1,1
382,27,12,48,2,1
383,61,74,9,1,2
384,50,41,90,2,2
385,72,5,1,2,1
386,99,81,31,2,2
387,56,15,77,1,1
388,61,52,78,1,1
389,26,99,98,1,1
390,30,78,7,1,1
391,28,83,12,1,1
392,48,43,45,2,2
393,4,19,17,1,2
394,36,27,3,1,2
395,61,13,79,1,2
396,50,56,95,2,2
397,67,56,9,2,2
398,42,47,23,1,2
399,40,29,42,2,1
400,61,98,72,2,1
401,7,4,62,2,2
402,88,94,4,2,2
403,75,68,28,1,2
404,47,21,92,1,1
405,66,49,52,1,1
406,64,61,13,2,2
407,57,14,83,2,2
408,56,38,26,2,2
409,84,78,49,2,1
410,22,90,48,1,1
411,62,74,27,1,1
412,29,19,74,2,1
413,51,30,38,2,1
414,89,86,4,1,1
415,65,30,33,1,2
416,4,51,20,1,1
417,50,88,44,2,2
418,46,84,70,2,2
419,65,6,55,1,2
420,1,44,25,1,2
421,38,48,78,2,2
422,76,67,35,1,2
423,26,84,27,2,2
424,2,60,75,1,2
425,38,90,1,2,1
426,11,69,75,1,2
427,38,85,7,2,1
428,89,2,23,2,1
429,94,38,44,1,2
430,18,47,95,1,1
431,93,7,38,1,2
432,66,3,35,1,1
433,25,47,79,2,2
434,43,52,8,1,2
435,82,20,79,2,1
436,15,98,16,2,1
437,49,93,21,1,1
438,68,76,49,1,1
439,82,92,33,2,1
440,60,61,35,1,2
441,79,34,31,1,1
442,62,73,76,1,2
443,33,31,95,1,1
444,86,94,69,2,1
445,81,40,64,2,1
446,46,60,70,1,1
447,37,15,39,2,1
448,37,21,26,1,1
449,52,46,83,2,1
450,21,57,93,1,2
451,77,91,62,2,2
452,35,16,57,2,1
453,2,77,82,1,2
454,32,82,45,2,2
455,33,68,89,2,1
456,77,28,25,2,2
457,80,69,23,2,2
458,60,82,49,2,1
459,43,76,5,1,1
460,50,22,60,1,1
461,14,53,88,2,1
462,96,47,22,2,1
463,94,88,24,2,2
464,25,82,78,2,1
465,3,1,84,1,1
466,54,33,41,1,1
467,82,83,16,2,2
468,1,21,6,1,2
469,97,24,95,1,2
470,74,2,80,2,2
471,78,10,92,2,1
472,84,48,73,1,1
473,78,88,64,1,1
474,9,56,9,2,2
475,9,33,50,1,2
476,94,87,53,1,1
477,96,18,42,1,1
478,22,83,63,1,1
479,30,47,58,2,2
480,72,80,5,1,2
481,7,91,94,2,1
482,79,31,61,2,2
483,96,16,38,1,2
484,4,6,38,2,1
485,36,66,32,1,1
486,75,81,2,1,2
487,24,41,84,1,1
488,66,85,38,2,1
489,98,70,2,2,1
490,83,44,99,2,1
491,40,63,29,2,1
492,24,33,58,2,2
493,17,59,70,1,2
494,89,6,77,1,2
495,68,41,9,1,2
496,1,94,29,2,2
497,36,16,53,1,1
498,56,69,15,1,1
499,43,66,57,1,1
